Date,Shift,Operator,Machine,Lot Number,Item Code,Description,UOM,Planned Quantity,Act Quantity,Comments,Column1
2026-01-12,1st,Jose,T2,53910.0,7578,Iorinse ultra,GM,7578000,,,
2026-01-13,1st,Jose,T2,53910.0,7578,Iorinse ultra,GM,7578000,,,
2026-01-13,1ST,Jose,K1,54067.0,5767,MPM Antiseptic wound solution,GM,1000000,,,
2026-01-14,1ST,JOSE,K1,53588.0,7770,Perioscience sensitive rinse,GM,1892000,,,
2026-01-16,1st,jose,K1,54524.0,7827,SILICON CREAM,GM,950000,,,
2026-01-19,1st,Jose,k1,54055.0,5821,Radiaplex gel,GM,1500000,,,
2026-01-20,1st,Jose,t2,54358.0,6379,Therebreath Drymouth,GM,7570000,,,
2026-01-21,1st,Jose,t2,54359.0,6379,Therebreath Drymouth,GM,7570000,,,
2026-01-22,1st,Jose,t2,54360.0,6379,Therebreath Drymouth,GM,7570000,,,
2026-01-28,,,,53867.0,7755,PERIO AO ProVantage GEL Compounding,GM,20061,,perioscience gel -testorder 1,
2026-01-30,1st,Jose,t2,54361.0,6379,Therebreath Drymouth,GM,7570000,,,
2026-01-30,1st,Jose,t2,54362.0,6379,Therebreath Drymouth,GM,7570000,,,
2026-02-04,,,,,7755,PERIO AO ProVantage GEL Compounding,GM,20061,,perioscience gel -testorder 2,
2026-02-05,1st,Jose,K2,54383.0,5809,Regenecare HA Gel Compounding (F190218A),GM,170000,,,
2026-02-06,1st,Jose,K2,54823.0,5810,Regenecare Wound Gel Compounding (F190219A),GM,170000,,,
2026-02-16,1st,Jose,k1,54831.0,7956,Pause life compounding,GM,1892000,,,
2026-02-19,1st,jose/som,k4,54800.0,5809,Regenecare HA Gel Compounding (F190218A),GM,662000,,,
2026-02-23,1st,jose/som,k2,54801.0,5809,Regenecare HA Gel Compounding (F190218A),GM,170000,,,
2026-02-27,1st,som,k1,54827.0,7796,PERIO AO ProRinse HYDRATING Compounding,GM,1892000,,Reject due to microbial count on xylitol,
