Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Equipment List,Area,Finished Goods,Reason,,Mfg/QA,Sterile/Non Sterile
,Delta 1,Converting ,Yes,Material not available,,Non Sterile,Sterile
,Delta 2,Compounding,No,Equipment Breakdown,,Quality Release,Pre-Sterile 
,Delta 3,Filling,,HC shortage,,,Non-Sterile
,Delta 4,Collagen,,Quality Issue,,,
,Delta 13,,,,,,
,Pace,,,,,,
,PCI-2,,,,,,
,Delta Pkg,,,,,,
,Circle 1,,,,,,
,Circle 2,,,,,,
,Multivac,,,,,,
,Scout,,,,,,
,Cuderm,,,,,,
,Slitter,,,,,,
,Cartoner 1,,,,,,
,Cartoner 2,,,,,,
,Do Boy,,,,,,
,Hudson 1,,,,,,
,Hudson 2,,,,,,
,Impulse Sealer 1,,,,,,
,Impulse Sealer 2,,,,,,
,H Pack 1,,,,,,
,H Pack 2,,,,,,
,H Pack 3 ,,,,,,
,Rewind 1,,,,,,
,Rewind 2,,,,,,
,Tray Sealer,,,,,,
,Auto Bag,,,,,,
,Spooler,,,,,,
,Preco,,,,,,
,Adaptive Machine,,,,,,
,Collagen CME,,,,,,
,Lyophilizer - M1,,,,,,
,Lyophilizer - M2 ,,,,,,
,Lyophilizer - M3,,,,,,
,Lyophilizer - M4,,,,,,
,Sterilizer GAMMA,,,,,,
,Sterilizer E Beam,,,,,,
,Sterilizer EO,,,,,,
